y_true,y_pred,text
0,1,"W jedzeniu mięsa nie widzę nic zlego. Przecież jest ono obecne na naszych stołach od zawsze o czym można dowiedziec się chociażby z literatury poprzednich epok. Mięso jest najlepszym źródłęm białka i dzięki niemu mamy mnóstwo energii żeby móc stawić czoła codziennym wyzwaniom. 
Ciezko mi wyobrazic sobie zycie bez miesa, poniewaz powstaja z niego pyszne potrawy, a walory smakowe są równie istotne co te odżywcze. Czym uraczyć gosci jak nie wspaniałą mięsna potrawa, która nie dość, ze kazdego nasyci dodatko bedzie ucztą dla podniebienia.  Zwierzeta sa po to aby czlowiek mogl z nich korzystac. Mięso jesc, a skóry i futra przetwarzać na odzież. Dlatego jedzmy mięso, delektujmy się jego smakiem. Tak skonstruowany jest otaczający nas świat, więc nalezy z tego korzystać."
0,1,"Nie podoba mi się to, że Ewa pomimo dużego dorobku prowadzi bardzo drogie zajęcia tygodniowe na obozach przez siebie organizowanych. Dla mnie oraz myślę że dla większości Polaków ceny są po prostu zaporowe. Obóz tygodniowy to 3000 zł. Dla większości rodzin jest to nie do pomyślenia. Dużo osób nawet tyle nie zarabia. Kiedyś ją lubiłam, teraz uważam że zrobiła się z niej wielka gwiazda celebrytka. Najważniejsza jest kasa. Kto jeździ na te obozy? podejrzewam że takie same gwiazdy jak ona. Po co dla kontaktów i chwalenia się wyższym statusem społecznym niż inni. Nie lubię takich ludzi."
0,1,"KORZYSTANIE ZE Ż£ÓŽĘŁ ODBAWIALNYCH NIE JEST DOBRE DLA KRAJU TAKIEGO JAKIM JEST POLSKA PONIEWAŻ NIE MAMY ODPOWIEDNICH UWARUNKOWAŃ NATURALNYCH, A BUDOWANIE INFRASTRUKTURY POD ROZWIĄZANIA EKOLOGICZNE MOŻE BYĆ OGROMNYM ROZCZAROWANIEM PONIEWAŻ NIE DA SIĘ PRZEWIDZIEĆ NEGATYWNYCH EFEKTÓW TAKICH DZIAŁAŃ. PRZEZ WPROWADZANIE TAKICH ROZWIĄZAŃ MOŻE UCIERPIEĆ NASZE ŚRODOWISKO NATURALNE, W TYM NP. PTAKI I ZWIERZĘTA, KTÓRE TRACĄ SWOJE NATURALNE ŚRODOWISKO ŻYCIA W MIEJSCACH, GDZIE SĄ STAWIANE WIATRAKI. Z KOLEI NIE ZNAMY NEGATYWNYCH SKUTKÓW ODDZIAŁYWANIA LAMP SOLARNYCH NA CZŁOWIEKA. MATERIAŁY, Z KTÓRYCH SĄ WYKONANE MOGĄ MIEĆ EFEKT RAKOTWÓRCZY U CZŁOWIEKA, A POPRZEZ SPALANIE ODPADÓW DO ŚRODOWISKA TRAFIAJĄ ZANIECZYSZCZENIA DYMNE. WSZYSTKO TO SPRAWIA, IŻ OBECNIE NIE POWINNIŚMY ZBYT OPTYMISTYCZNIE ANGAŻOWAĆ SIĘ W PRZEMIANĘ POLSKIEGO SYSTEMU ENERGETYCZNEGO"
0,1,SZCZEPIENIA SĄ WYBAWIENIEM DLA LUDZKOŚCI BO DZIĘKI NIM UPORAŁA SIĘ ONA Z PLAGAMI WIELU ŚMIERTELNYCH CHORÓB TAKIMI JAK NP.CZARNA OSPA. SZCZEPIENIA CHRONIĄ PRZED ZACHOROWANIEM NA CHOROBY POPRZEZ STYMULACJE UKŁADU ODPORNOŚCIOWEGO CZŁOWIEKA. JEST TO ROZWIĄZANIE KTÓRE UWALNIA OD WIELU ZAGROŻEŃ I SKUTKÓW SPOWODOWANYCH CHOROBAMI. PODSUMOWUJĄC POWYŻSZE KONIECZNIE TRZEBA JE STOSOWAĆ.
1,0,"Zywnosc GMO jest szkodliwa i zagraza zdrowiu,
kazda chemiczna ingerencja w produkowanie zywnosci pogarsza jej jakosc, dodawanie niedozwolonych skladnikow obniza wartosc i zdrowotne  pozywienia, zmienia smak, pogarsza jakosc i trwalosc zywnosci.
podsumowujac : zywnosc GMO czyli modyfikowana genetycznie nie powinna byc dopuszczona do uzytku, jest szkodliwa i ma zly wplyw na zycie i zdrowie."
1,0,"Ewa Chodakowska jest produktem marketingowym i generuje niezdrowe podejście do szczupłej sylwetki. Powoduje, że młode dziewczyny zamiast akceptować swoje ciało zmuszają się do ćwiczeń i przechodzą na dietę. Jej ćwiczenia są bardzo intensywne i nierzadko niedopasowane do poziomu osób, które całe życie spędziły za biurkiem i jest to dla nich pierwszy kontakt z jakąkolwiek aktywnością fizyczną. Narzuca kobietom intentywne cwiczenie codzinnie nie ważąc na to, że przeciętny człowiek ma inne oboiązki poza chodzenim na siłownię, np. praca i opieka nad dziećmi. Uważam, że promowane przez nią podejście jest niezdrowe, brak jest harmonii i postawienia człowieka w centrum.
"
1,0,"ROBERT LEWANDOWSKI JEST PRZEREKLAMOWANY. 
SAM NIE STWARZA SOBIE  SYTUŁACJI BRAMKOWYCH. 
ROBERT NIE POTRAFI  BRAC NA SIEBIE ODPOWIEDZIALNOSCI GRY ZA CALY ZESPÓŁ
ROBERT NIE JEST PIŁKARZEM TECHNICZNNIE ZDOLNYM TYLKO MAJACYM SZCZESCIE  ZE PIŁKA GO ZNAJDUJE I STRZELA BRAMKI .
ROBERT LEWANDOWSKI JEST PIŁKAZEM DOBRYM ALE NIE NAJLEPSZYM W POLSKIEJ PIŁCE NOŻNEJ ,JEST ZAWODNIKIEMKIEM SŁABYM TECHNICZNIE CO NIE DAJE MU SWOBODY BRANIA CIEZARU GRY NA SWOJE PLECY . 
ROBERT LEWANDOWSKI SWIETNY JEST TECHNICZNIE CO DAJE MU MOZLIWOŚĆ SZCZELANIA BRAMEK ORAZ BIERZE NA SWOJE BARKI ODPOWIEDZIALNOSC ZA CAŁY ZESPOŁ,IZ JEST TWARZA WIELU MAREK MUSI BYC ZAJLEPSZYM ZAWODNIKIEM POLSKI"
0,1,"Kuracje Jerzego Zieby to cakowite szarlatanstwo. Przede wszystkim nie ma wyksztacenia medycznego, a wiec nie ma doglebnej wiedzy z zakresu medycyny, ponadto nie obraca sie w swiatku medycznym, co juz go na wstepie dyskwalifikuje. W koncu nie bez powodu studia medyczne trwaja wiele lat. Wiele osob w Internecie twierdzi, ze wrecz jego praktyki sa szkodliwe i czuja sie znacznie gorzej po zastosowaniu jego propozycji. Ow pseudo uzdrowiciel raczej szkodzi a nie pomaga ludziom. Przekreslanie przez Jerzego Ziebe calego dorobku medycyny to absurd, a dyskredytowanie uznanych osobowosci swiata medycznego jest calkowicie nie na miejscu i swiadczy o checi zdobycia popularnosci tanim kosztem. Podsumowujac - Jerzy Zieba to kompletny szarlatan i absolutnie nie nalezy mu ufac.
"
1,0,"PONIEWAŻ TO JA DECYDUJE O SWOIM CIELE,O TYM CO SIĘ STANIE Z MOIM DZIECKIEM LUB JESZCZE EMBRIONEM. 
NIE WYOBRAŻAM SOBIE URODZIĆ DZIECKO KTÓRE JEST CAŁKOWICIE NIESAMODZIELNE. NIEREALNE JEST DLA MNIE TAKŻE URODZIĆ CHORE DZIECKO WIEDZĄC JUZ NA ETAPIE CIAZY ŻE BEDZIE CHORE.
JESLI BYŁABYM OFIARA GWAŁTU MOGLABYM JE USUNAC,A TAK JESTEM WRECZ ZMUSZONA JE URODZIĆ.
NA KONIEC MOJEJ WYPOWIEDZI PRAGNE JESZCZE DODAĆ,ZE NIESTETY W POLSCE ABORCJA JEST NIELEGALNA, A POWINNAM MIEC PRAWO DECYDOWAC O SOBIE ,JESTEM PRZECIEZ DOROSLYM CZLOWIEKIEM."
0,1,"aborcja powinna byc legalna by kazda kobieta mogla decydowac o sobie czy chce urodzic czy nie sa rozne powody by to uczynic np zla sytuacja materialna matka chcialaby by jej dziecko zylo w lepszych warunkach jesli byla to wpadka czekalaby na moment gdy jej sytuacja finansowa sie polepszy czy dziecko ma sie urodzic chore-wtedy nie narazajac je na cierpienie podejmujemy decyzje o aborcji. albo decyzja do aborcji moze byc gwalt kobieta w takiej sytuacji nie moze sie z tym pogodzic dziecko przypominaloby jej o tym ilekroc by na nie patrzyla nie umialaby je pokochac
"
1,0,"Moim zdaniem Bog nie istnieje i jest to tylko wymysł Kosciola katolickiego. bo skoro tyle zla i nieszczesc  jest na swiecie to gdzie on jest?
czemu pozwala na tyle cierpiena? bog jest czyms takim malo realnym  a przeciez  zycie polega  na rozwiazywaniu problemow na biezaca a nie klekaniu.
 w moim prywatnym  zyciu bylo bardzo duzo mega ciezkichh sytuacji,   cierpien. te moje modlitwy  ktorych bylem nauczony jako dziecko  wtloczono we mne te modlitwy ,  a teraz jako  juz  dorosly facet mam mega problem zeby w te bajki   o bogu sluchac.  albo te bajeczki biblijne a tez alo konkretnych nauk. ... dlatego nie wieze w Boga i nie chodze do kkosciola i dobrze mi z tym , zadny grom z nieba na mnie nie spadł.."
0,1,"Jestem osoba wierzaca oraz uwazam, iz obecna sytuacja w Polsce idzie w jak najbardziej dobrym kierunku. Obecny rzad bardzo troszczy sie o mieszkancow Polski. Program 500+ wprowadzony przez PiS niezywkle pomogl sytuacji finansowej miliona polskich rodzin. Mowiac o 500+ jakie PiS oferuje rolnikom na kazda krowe to kolejny przyklad tego, iz partia rzadzaca troszczy sie o polska wies i rolnikow. Moja rodzina posiada gospodarstwo rolne i taka pomoc jest dla nas niezwykle wazna. Podsumowujac, uwazam, ze sytuacja w Polsce moze sie jeszcze bardziej polepszyc jezeli najblizsze wybory wygra obecna partia rzadzaca. 
"
0,1,"Nie istnieje żadne bóstwo. Ludzie wymyślają religię, żeby wyjaśnić wszelkiego rodzaju nietypowe sytuacje. Układ chmur przypomina twarz? To na pewno objawienie Najwyższego! Poza tym, jak można wierzyć w teorię stworzenia świata, w to, że na początku oprócz samego boga/ Boga nie było nic. Kompletna pustka nie wydaje się czymś możliwym do zaistnienia. No i oczywiście, jak wyjaśnić obecność zła w świecie? Przecież gdyby rzeczywiście była jakaś nadistota nieskończenie dobra, nie pozwoliłaby, żeby ludzie cierpieli."
0,1,"Robert Lewandowski jest najlepszym polskim piłkarzem. Nie ma w naszym kraju lepszego piłkarza niż Robert. Dzięki niemu Polska ma szanse wygrywać z najlepszymi. Wystarczy popatrzeć jak gra i jakie wyniki osiąga w meczach naszej reprezentacji, jak i w meczach klubowych. Statystyki nie kłamią jest jednym z najlepszych piłkarzy na świecie, a na pewno najlepszym z piłkarzy polskich. Gdyby nie on nie dostalibyśmy się na Euro albo Mundial. Dodatkowo jest bardzo rozpoznawalny w naszym kraju ale i za granicą. Sława nie wzięła się znikąd. Piłka nie jest łatwym sportem, ludzie trenują całe życie, na szczyt docierają tylko najwytrwalsi i takim piłkarzem jest Robert Lewandowski. 
Dlatego właśnie uważam, że Robert Lewandowski jest najlepszym polskim piłkarzem, dzięki niemu mamy szanse wygrywać z najlepszymi zespołami na świecie. Oprócz tego swoją sławą napędza polską piłkę, wielu chłopaków chce być takimi jak on, co na pewno zaowocuje kolejnymi sławnymi piłkarzami."
1,0,"żywność GMO jest niebezpieczna i szkodliwa. Genetyczna modyfikacja żywności oddala nas od natury, zuboża gatunki i powoduje,  że żaden z produktów nie ma nic wspólnego z naturą. Odzwyczaja nas od naturalnych smaków, dając w zamian nic nie wart sztuczny substytut, wyjaławia produkt z jego wartości odżywczych. Żywność GMO negatywnie wpływa na nasze samopoczucie, przyczynia się wprost do powstawania chorób cywilizacyjnych. Produkowana sztucznie żywność i kontrola nad żywnością czynią dla tych, którzy mają na to zgodę potężne oręże kapitalistyczne."
0,1,"Ewa Chodakowska jest przereklamowana, wszedzie jej pelno, jej catering dietetyczny jest nic nie warty, drogi, kazdy moze cos takiego sam zrobic w domu za mniejsze pieniadze, sprzedaje drogie produkty do jedzenia, drogie diety online , jej cwiczenia sa proste, kazdy moze to sam wymyslec, , wywyzsza sie, uwaza sie za najlepsza a wcale tak nie jest.  Nie jest dostepna dla kazdej osoby, z uwagi na ceny jakie sobie zyczy, za to ze jest taka slawna.
Podsumowujac, Ewa jest taka sama trenerka jak kazdy inny, niczym specjalnym sie nie wyroznia.                                                    "
0,1,"Ludzie w pewnym momencie, żeby przetrwać jako populacja zdecydowanie potrzebowała mięsa zwierzęcego. W czasach późnego plejstocenu mięso dawało jedyną szansę na przetrwanie. Lądolody zajmujące znaczne połacie kuli ziemskiej nie pozwalały na rozwój rolnictwa czy zbieractwa. Faktycznie polowania były jedynym źródłem pożywienia. Lecz te czasy minęły bezpowrotnie. W XXI w. w dobie szklarni i GMO oraz większego poznania ludzkiego organizmu wiemy, że nadużywanie mięsa wręcz dewastuje ludzki organizm. Jesteśmy w stanie używać dowolnego roślinnego zamiennika imitujący smak zwierzęcego mięsa, bez zadawania niepotrzebnego cierpienia..."
1,0,"aborcja powinna byc zakazana kazdy ma prawo zyc a to przeciez jest maly czlowiek w lonie kobiety rozwija sie kobieta w ciazy powie ze sa rozne powody by ja usunac ale mozna temu poradzic zla sytuacja materialna? sa instytucje ,rodzina ktora pomoze w wychowaniu dziecka a w ostatecznosci jesli ktos naprawde nie chce dziecka sa rodziny ktore bardzo chca miec dzieci a nie moga mozna oddac do adopcji
"
0,1,"Jedzenie mięsa przez ludzi możemy uznać w XXI wieku za przeżytek. Biorąc pod uwagę rosnącą liczbę ludzi na planecie (już w tym momencie ponad 7 miliardów), utrzymanie dotychczasowego stylu życia jest praktycznie niemożliwe - doprowadziłoby to do praktycznego zniszczenia Ziemi przez ludzkość. Należy zauważyć, iż hodowla zwierząt (oraz pożywienia dla nich) zajmuje o wiele więcej miejsca, niż analogiczna hodowla roślin. Polowania na zwierzęta doprowadzają także do wyginięcia lub ograniczenia populacji wielu gatunków, zmniejszając różnorodność fauny na Ziemi. Drugą kwestią są aspekty humanitarne - jedzenie mięsa doprowadza do śmierci olbrzymiej liczby zwierząt, hodowanych i/lub upolowanych dla wyłącznej przyjemności ludzi. Zwierzęta te są często przetrzymywane w okrutnych warunkach, konając w męczarniach - szczególnie w rejonach, gdzie świadomość cierpienia zwierząt jest niższa. Reasumując, utrzymanie dotyczasowego ""mięsnego"" stylu życia większości populacji jest zarówno nieracjonalne, jak i naganne w sferze moralnej."
1,0,"Uważam, że Robert Lewandowski jest dobrym piłkarzem. Jednak nie wzbudza on mojej sympatii ponieważ myslę, że jest go za dużo w mediach. Wszystko co mi się z nim kojarzy to dużo artykułów na Pudelku i ciągle jakieś reklamy z nim, np. head&shoulders, huawei, t-mobile. Wydaje mi się, że jedyne na czym mu zależy to na pieniądzach i na sławie, ponieważ czasami oglądam jakieś mecze i nie wydaje mi się, żeby był o wiele lepszy niż inni piłkarze. Co z tego, że ma sukcesy jak gra dla niemieckiej drużyny skoro kiedy gra  na jakimś euro reprezentując Polskę wcale nie wyróżnia na tle innych. Wydaje mi się, że mamy dużo niedocenionych piłkarzy, którzy też są wykupywani dla drużyn za jakieś potężne sumy i nie ma wokół nich aż tak wielkiego szumu.  Media po prostu bardziej się nim interesują co daje mu większą sławę niż innym piłkarzom.
Podsumowując nie uważam, że Robert Lewandowski jest najlepszym piłkarzem. Nie wzbudza on mojej sympatii oraz uważam, że mamy bardzo duzo utalentowanych piłkarzy, którym można poświecić uwagę."
0,1,"Żywność GMO jest sztuczną zabawą korporacyjną dla maksymalizacji zysków, nie dla rozwiązywania rzeczywistego problemu żywności na świecie. Produkcja roślinności GMO to niszczenie gleb jak w przypadku odmian ryżu, który wyniszcza ziemię na której znajdują się ryżwiska czy też uprawy okołorównikowe gdzie wartościowa gleba jest pozyskiwana przy wycince lasów tropikalnych. Takie uprawy przynoszą zysk na krótki okres całkowicie wysuszając glębe z minerałów w niej zawartych. Kolejnym argumentem przeciw jest fakt, że uprawy GMO są w sztucznym sposóbem na ulepszanie roślin pozwalając na wyparcie naturalnych odmian roślinności. Nie byłoby to nic złego jeśli wiedzielibyśmy co robimy. Jednak wielokrotnie człowiek udowodnił, że nie jest w stanie w pełni zrozumieć kręgu życia w naturze (np. polowanie na wróble w korei/inwazja żaby AGI czy z naszego podwórka szczepienie lisów) Te przykłady dowodzą, że nawet drobna, niepozorna z początku zmiana, tak zwane ""ulepszenie"" potrafi doprowadzić nawet nie do kryzysu a wręcz katastrofy ekologicznej. Produkując w sposób niekontrolowany tego typu rośliny przez skomercjalizowane instystucje sami prosimy się o załamanie środowiska naturalnego wcześniej czy później. Do tego można dodać kwestie natury moralnej. Genetyka dla wielu osób, prowadzona w ten nieodpowiedzialny i arogancki sposób może faktycznie zdawać się ""zabawą w boga"" a z tego typu zabaw nigdy nie wyszło nic dobrego. 

Podsumowując, GMO nie koniecznie musi być czymś złym. Problemem jesteśmy my sami. Ludzie nie potrafiący zrozumieć granicy swojego własnego postrzegania. To coś co możemy starać się zrozumieć, ale w sposób kontrolowany i opanowany a nie wprowadzając zmiany na lewo i prawo widząc tylko krótkoterminowe korzyści nie zwracając w ogóle uwagi na kwestie środowiska naturalnego i klimatu, który cierpi przez ten pościg za coraz większymi zyskami jak najmniejszym kosztem. "
0,1,"Żywność modyfikowana genetycznie przyczynia się do zaburzenia porządku istniejącego na ziemi od tysięcy lat. Modyfikowanie żywności nie jest etyczne i nie przyczynia się do jej lepszej jakości. Jest jednym ze sposobów wpływania na ludzi poprzez zaburzanie naturalnej równowagi w przyrodzie, a w konsekwencji prowadzi do całkowitej zmiany środowiska w jakim żyjemy. Żywność GMO przyczynia się do rozwoju nieznanych w przeszłości chorób. 
W związku z tym produkcja żywności modyfikowanej genetycznie powinna być zakazana, a wszystkie próby jej modyfikacji powinny zostać zabronione."
1,0,"Uważam,że nalezy znieśc obowiązek szczepień, ponieważ to ludzie sami powinni decydować o tym, co jest dla nich dobre i potrzebne. Każdy organizm jest inny i każdy wie najlepiej, co jest mu potrzebne i co na niego dobrze lub źle działa. Wszyscy obserwujemy jak nasz organizm zachowuje się w danej sytuacji i jak powinniśmy reagować. Poza tym szczepionki produkują tylko gigantyczne koncerny farmaceutyczne i, mimo tego że robią też wiele dobrego, zależy im głównie na zyskach. W interesie tych gigantycznych firm jest generowanie przychodu i obowiązkowe szczepienia mogą zostac ustalone 'nadprogramowo'. Czyli istnieje duże ryzyko, że ludzie będą szczepieni nie tylko na to, co faktycznie potrzebują, ale też na to, co nie jest potrzebne. Wszystko dla zysku. Najważniejsze jest zdrowie ludzi, a nadmiar przyjmowanych leków, szczepionek może mieć zły wpływ na ludzkie zdrowie.
"
1,0,"Uważam, że istnienie Boga i wszelkiego rodzaju istot nadprzyrodzonych jest mocno naciągane i zostało wymyślone tylko po to, żeby wyjaśnić zjawiska, których ludzie kiedyś nie rozumieli. Dlatego właśnie coraz częściej odchodzi się od wiary z racji tego, że coraz więcej rzeczy jesteśmy w stanie pojąć poprzez naukę, a religia i wszelkie instytucje z nią związane są w większości maszynką do pieniędzy, która żeruje na naiwnych ludziach. Weźmy na przykład ubogie rejony świata. W Afryce jest bardzo dużo wierzących, wysyłani są kapelani na misje. To wszystko dlatego, żeby wpoić ludziom ubogim i nie mającym żadnych perspektyw jakikolwiek sens egzystencji, żeby mieli dla kogo wstawać każdego dnia z łóżka i jakoś funkcjonować. Dlatego uważam, że Bogowie zostali wymyśleni po to, żeby niegdyś niewytłumaczalne rzeczy mogły zostać usprawiedliwione, a dzisiaj jest to jedynie pożywka dla osób mniej zamożnych."
0,1,"Uważam, że dalszy napływ ludności z innych krajów nie jest korzystny dla polskiego społeczeństwa. Polska jest już przepełniona ludnością ''napływową''. Polacy mają problem aby znaleźć pracę. Pracodawcą bardziej opłaca się zatrudniać osoby innego pochodzenia ponieważ te pracują za dużo niższe stawki. Do niedawna były to w większości osoby ze wschodniego sąsiedztwa (ukraińcy) jednak coraz częściej można zauważyć osoby z dalszych krajów typu Syria.  Innym powodem równie ważnym jak nie najważniejszym jest bezpieczeństwo. Osobiście nie ufam takim ludziom. Mają zupełnie inną mentalność. Wychowywani są w innej kulturze, religi, która znacząco różni się od naszej. Ich podejście do kobiet jest bardzo niestosowne. Często można usłyszeć o atakach na kobiety."
